dataset,method,fitness_rule,fitness,overall_acc,MCC,avg_odds_diff,stat_par_diff,eq_opp_diff,solution,alpha
compas_dataset_reader,ftl_mlp_xi_reg_initializer,alpha_035_MCC_stat_par_diff,0.0754367518368532,0.6353322528363047,0.2581161266963195,0.0741251300185207,0.022929065395167,0.0555942012855115,"{'l2': 0.01, 'dropout': 0.16386101463953764, 'privileged_demotion': 0.26372871350786686, 'privileged_promotion': 0.09715048404832019, 'protected_demotion': 0.016012028827343643, 'protected_promotion': 0.08507067177192103}",0.35
compas_dataset_reader,ftl_mlp_xi_reg_initializer,alpha_05_MCC_stat_par_diff,0.1074740084519593,0.6515397082658023,0.3113428424383594,0.0733771323794287,0.0963948255344407,0.0662204339487835,"{'l2': 0.01, 'dropout': 0.05675690913277339, 'privileged_demotion': 0.45929366899294083, 'privileged_promotion': 0.20964948691203647, 'protected_demotion': 0.3982036951258857, 'protected_promotion': 0.35939785762327203}",0.5
compas_dataset_reader,ftl_mlp_xi_reg_initializer,alpha_065_MCC_stat_par_diff,0.1745757333106114,0.6474878444084279,0.3011451010555236,0.0388831270454227,0.0604816639299398,0.0051701002446916,"{'l2': 0.001, 'dropout': 0.002220873498959249, 'privileged_demotion': 0.5340942736171623, 'privileged_promotion': 0.21833659279551762, 'protected_demotion': 0.4368951174924842, 'protected_promotion': 0.29114500634764895}",0.65
compas_dataset_reader,ftl_mlp_xi_reg_initializer,alpha_08_MCC_stat_par_diff,0.2550046514212226,0.6693679092382496,0.3239539661715779,0.0204380702548277,0.0207926075801982,0.0079499085408752,"{'l2': 0.0001, 'dropout': 0.10233080638897521, 'privileged_demotion': 0.07422008444415307, 'privileged_promotion': 0.1561713873031615, 'protected_demotion': 0.12204272401341743, 'protected_promotion': 0.35990417018403575}",0.8
compas_dataset_reader,ftl_mlp_xi_reg_initializer,alpha_02_MCC_avg_odds_diff,0.0230967798231758,0.4764991896272285,0.1385878288704669,0.0057759824386469,0.0096787438018427,0.0101502445842068,"{'l2': 0.0001, 'dropout': 0.1874008886383428, 'privileged_demotion': 0.7111405020959722, 'privileged_promotion': 0.07944819832563443, 'protected_demotion': 0.5881014642169933, 'protected_promotion': 0.00015382664705421156}",0.2
compas_dataset_reader,ftl_mlp_xi_reg_initializer,alpha_035_MCC_avg_odds_diff,-0.0376755492425437,0.6393841166936791,0.2703537452874666,0.2035374770663953,0.1615168211425769,0.2024079185305034,"{'l2': 0.01, 'dropout': 0.001139548254845836, 'privileged_demotion': 0.5950790881176992, 'privileged_promotion': 0.3207610737922601, 'protected_demotion': 0.2599063255275694, 'protected_promotion': 0.4684883520084664}",0.35
compas_dataset_reader,ftl_mlp_xi_reg_initializer,alpha_05_MCC_avg_odds_diff,0.1265367047109029,0.6434359805510534,0.2873039617247098,0.0342305523029039,0.0274189774189774,0.0361657122220502,"{'l2': 0.0001, 'dropout': 0.14245985082040394, 'privileged_demotion': 0.32509847735448205, 'privileged_promotion': 0.10205265237082456, 'protected_demotion': 0.2844919926780961, 'protected_promotion': 0.2669354788517228}",0.5
compas_dataset_reader,ftl_mlp_xi_reg_initializer,alpha_065_MCC_avg_odds_diff,0.1440528115011994,0.6426256077795786,0.2749632666750561,0.0990666052502488,0.0681605656289201,0.048714759535655,"{'l2': 0.001, 'dropout': 0.06806900696769594, 'privileged_demotion': 0.30269828854988806, 'privileged_promotion': 0.18084565141698558, 'protected_demotion': 0.31306169082350255, 'protected_promotion': 0.30189924329539136}",0.65
compas_dataset_reader,ftl_mlp_xi_reg_initializer,alpha_08_MCC_avg_odds_diff,0.2373215744370592,0.6572123176661264,0.3065119313016909,0.0394398530214674,0.0291259409055162,0.0393230138008205,"{'l2': 0.01, 'dropout': 0.186986191207676, 'privileged_demotion': 0.4435833403656477, 'privileged_promotion': 0.27706686350174864, 'protected_demotion': 0.09619183078978422, 'protected_promotion': 0.1294834016429453}",0.8
compas_dataset_reader,ftl_mlp_xi_reg_initializer,alpha_02_MCC_eq_opp_diff,-0.2710998076868188,0.5988654781199352,0.2362381118586837,0.2972384147617019,0.294699562865822,0.3979342875731945,"{'l2': 0.0001, 'dropout': 0.01633992998326157, 'privileged_demotion': 0.8145537744836593, 'privileged_promotion': 0.144001292617436, 'protected_demotion': 0.2540184436713615, 'protected_promotion': 0.07791154076322471}",0.2
compas_dataset_reader,ftl_mlp_xi_reg_initializer,alpha_035_MCC_eq_opp_diff,0.0279256450790675,0.6547811993517018,0.3000315812731469,0.1361972440439544,0.1577103077103077,0.1185929359485136,"{'l2': 0.0001, 'dropout': 0.18517460652417142, 'privileged_demotion': 0.11498564280560886, 'privileged_promotion': 0.16702497537231023, 'protected_demotion': 0.2630172860477238, 'protected_promotion': 0.3910334669750534}",0.35
compas_dataset_reader,ftl_mlp_xi_reg_initializer,alpha_05_MCC_eq_opp_diff,0.1409418623364731,0.6888168557536467,0.367510937508513,0.1204040267501391,0.1379016507822128,0.0856272128355667,"{'l2': 0.01, 'dropout': 0.16699298036579285, 'privileged_demotion': 0.2028500141387673, 'privileged_promotion': 0.25286235291232445, 'protected_demotion': 0.016736095273565177, 'protected_promotion': 0.2137886523544542}",0.5
compas_dataset_reader,ftl_mlp_xi_reg_initializer,alpha_065_MCC_eq_opp_diff,0.167290151004527,0.6580226904376013,0.3088876922146347,0.075974675574095,0.0388586769463756,0.0956767112428157,"{'l2': 0.0001, 'dropout': 0.16101292632786357, 'privileged_demotion': 0.349300095514618, 'privileged_promotion': 0.11245063149773626, 'protected_demotion': 0.3097874844802336, 'protected_promotion': 0.3482618108190573}",0.65
compas_dataset_reader,ftl_mlp_xi_reg_initializer,alpha_08_MCC_eq_opp_diff,0.1606690144164439,0.6045380875202593,0.2028655526117498,0.0400878086058048,0.0634325756519313,0.0081171383647797,"{'l2': 0.001, 'dropout': 0.15055729825282843, 'privileged_demotion': 0.42700768534498224, 'privileged_promotion': 0.29729840778959504, 'protected_demotion': 0.038442103117392934, 'protected_promotion': 0.12798762561285584}",0.8
compas_dataset_reader,simple_mlp_initializer,alpha_02_overall_acc_stat_par_diff,-0.003706152493327,0.6442463533225283,0.2828239460435949,0.1557134607427251,0.1656942789472909,0.1003595057551131,{'dropout': 0.15258092147002533},0.2
compas_dataset_reader,simple_mlp_initializer,alpha_035_overall_acc_stat_par_diff,0.1027996769556449,0.6426256077795786,0.27415129336508,0.1738168133415672,0.1878758242572423,0.1379274276368339,{'dropout': 0.004167249101548798},0.35
compas_dataset_reader,simple_mlp_initializer,alpha_05_overall_acc_stat_par_diff,0.2396624551419035,0.6337115072933549,0.2489028254345516,0.1438690070952362,0.1543865970095478,0.0606959687724273,{'dropout': 0.17009929756759928},0.5
compas_dataset_reader,simple_mlp_initializer,alpha_065_overall_acc_stat_par_diff,0.3815225395720632,0.6555915721231766,0.3005869342407982,0.1078255582027746,0.1274628065942903,0.0517383177570093,{'dropout': 0.06085229543891921},0.65
compas_dataset_reader,simple_mlp_initializer,alpha_08_overall_acc_stat_par_diff,0.4695203195648355,0.6345218800648298,0.2621737806529346,0.1809001957890878,0.1904859224351421,0.1294474504017051,{'dropout': 0.08829018355670148},0.8
compas_dataset_reader,simple_mlp_initializer,alpha_02_overall_acc_avg_odds_diff,-0.036210067788911,0.6491085899513777,0.2870219760691446,0.2075397322239832,0.2190535502677081,0.1182118802049668,{'dropout': 0.11065523135208809},0.2
compas_dataset_reader,simple_mlp_initializer,alpha_035_overall_acc_avg_odds_diff,0.0942826228388811,0.63290113452188,0.2582828450106904,0.1957427296058105,0.2147856976473329,0.1502954675567889,{'dropout': 0.08760083085838687},0.35
compas_dataset_reader,simple_mlp_initializer,alpha_05_overall_acc_avg_odds_diff,0.2095400198767136,0.6418152350081038,0.2828466093612557,0.2227351952546764,0.236136653307149,0.1553438710352769,{'dropout': 0.003111803888246719},0.5
compas_dataset_reader,simple_mlp_initializer,alpha_065_overall_acc_avg_odds_diff,0.3628714975420799,0.6491085899513777,0.2884959905188692,0.1687116740751873,0.1949888568896138,0.1639508738612034,{'dropout': 0.0415564921710429},0.65
compas_dataset_reader,simple_mlp_initializer,alpha_08_overall_acc_avg_odds_diff,0.4830027129883206,0.6410048622366289,0.275581487514035,0.1490058840049126,0.1751257751257752,0.0848402171073636,{'dropout': 0.06464726447990406},0.8
compas_dataset_reader,simple_mlp_initializer,alpha_02_overall_acc_eq_opp_diff,0.0152668887089726,0.640194489465154,0.2668026562957114,0.2051583078790737,0.2171774193548387,0.1409650114800726,{'dropout': 0.017153776633912744},0.2
compas_dataset_reader,simple_mlp_initializer,alpha_035_overall_acc_eq_opp_diff,0.155959455328695,0.6507293354943274,0.2901592449072964,0.1659048731661129,0.1876720996957465,0.1104550955297223,{'dropout': 0.04330991310717978},0.35
